cellid,layer,cell_type,cell_subtype
38778725243,L1,neuron,interneuron
38937774009,L1,neuron,interneuron
38981767262,L1,neuron,interneuron
39156656786,L1,neuron,interneuron
39418830936,L1,neuron,interneuron
39680834142,L1,neuron,interneuron
39738915522,L1,neuron,interneuron
40015795997,L1,neuron,interneuron
40088567417,L1,neuron,interneuron
40132674612,L1,neuron,interneuron
40467200014,L1,neuron,interneuron
41574215785,L1,neuron,interneuron
44554661751,L1,neuron,interneuron
44642136011,L1,neuron,interneuron
44657160088,L1,neuron,interneuron
44700831942,L1,neuron,interneuron
44874130663,L1,neuron,interneuron
44991274970,L1,neuron,interneuron
45021177747,L1,neuron,interneuron
45021732268,L1,neuron,interneuron
45078033971,L1,neuron,interneuron
45136686165,L1,neuron,interneuron
45152964910,L1,neuron,interneuron
45196681853,L1,neuron,interneuron
45427669385,L1,neuron,interneuron
45471793802,L1,neuron,interneuron
45501258150,L1,neuron,interneuron
45590689309,L1,neuron,interneuron
45662833911,L1,neuron,interneuron
45750160648,L1,neuron,interneuron
45996538940,L1,neuron,interneuron
45998612778,L1,neuron,interneuron
46055848703,L1,neuron,interneuron
46274980038,L1,neuron,interneuron
46405498324,L1,neuron,interneuron
46580374526,L1,neuron,interneuron
46595326207,L1,neuron,interneuron
47017134747,L1,neuron,interneuron
47264168839,L1,neuron,interneuron
47365849004,L1,neuron,interneuron
47438767396,L1,neuron,interneuron
47526285767,L1,neuron,interneuron
47527059826,L1,neuron,interneuron
47890770785,L1,neuron,interneuron
47905065243,L1,neuron,interneuron
48400346098,L1,neuron,interneuron
48443958991,L1,neuron,interneuron
48487163030,L1,neuron,interneuron
48648109640,L1,neuron,interneuron
53508286578,L1,neuron,interneuron
53581160084,L1,neuron,interneuron
53581801123,L1,neuron,interneuron
53594812181,L1,neuron,interneuron
53711736366,L1,neuron,interneuron
53712844777,L1,neuron,interneuron
53829172838,L1,neuron,interneuron
53975210644,L1,neuron,interneuron
54062321026,L1,neuron,interneuron
54178544824,L1,neuron,interneuron
54295921745,L1,neuron,interneuron
54674555030,L1,neuron,interneuron
54689156934,L1,neuron,interneuron
54760701933,L1,neuron,interneuron
54805263682,L1,neuron,interneuron
55038324642,L1,neuron,interneuron
55081996255,L1,neuron,interneuron
55213025507,L1,neuron,interneuron
55256624362,L1,neuron,interneuron
55431427452,L1,neuron,interneuron
55577014606,L1,neuron,interneuron
55736807651,L1,neuron,interneuron
55766359917,L1,neuron,interneuron
55794919130,L1,neuron,interneuron
55824385083,L1,neuron,interneuron
55940813059,L1,neuron,interneuron
56013832360,L1,neuron,interneuron
56057182600,L1,neuron,interneuron
56377499112,L1,neuron,interneuron
56479751201,L1,neuron,interneuron
56785232264,L1,neuron,interneuron
56828860412,L1,neuron,interneuron
57061935940,L1,neuron,interneuron
57352977341,L1,neuron,interneuron
57484006609,L1,neuron,interneuron
57542469669,L1,neuron,interneuron
62286756901,L1,neuron,interneuron
62432447413,L1,neuron,interneuron
62548802459,L1,neuron,interneuron
62634859808,L1,neuron,interneuron
62825754903,L1,neuron,interneuron
62853494343,L1,neuron,interneuron
62956930716,L1,neuron,interneuron
63204372250,L1,neuron,interneuron
63263199445,L1,neuron,interneuron
63306566360,L1,neuron,interneuron
63319399055,L1,neuron,interneuron
63598060330,L1,neuron,interneuron
66042996282,L1,neuron,interneuron
66582608816,L1,neuron,interneuron
71050511276,L1,neuron,interneuron
71079655344,L1,neuron,interneuron
71371338337,L1,neuron,interneuron
71398409113,L1,neuron,interneuron
71573679935,L1,neuron,interneuron
71690852789,L1,neuron,interneuron
72085021829,L1,neuron,interneuron
72097753851,L1,neuron,interneuron
72491105147,L1,neuron,interneuron
72578652442,L1,neuron,interneuron
79944025645,L1,neuron,interneuron
80263450394,L1,neuron,interneuron
80394261450,L1,neuron,interneuron
81240139569,L1,neuron,interneuron
81443737282,L1,neuron,interneuron
81851542893,L1,neuron,interneuron
89696952585,L1,neuron,interneuron
97616621809,L1,neuron,interneuron
98301204773,L1,neuron,interneuron
98461130452,L1,neuron,interneuron
98941648080,L1,neuron,interneuron
99553137136,L1,neuron,interneuron
357842575,L2,neuron,interneuron
358033349,L2,neuron,interneuron
387307134,L2,neuron,interneuron
401514872,L2,neuron,interneuron
445565866,L2,neuron,interneuron
489469961,L2,neuron,interneuron
505326916,L2,neuron,interneuron
561599357,L2,neuron,interneuron
562007735,L2,neuron,interneuron
576492944,L2,neuron,interneuron
606394351,L2,neuron,interneuron
634034153,L2,neuron,interneuron
634137588,L2,neuron,interneuron
634735199,L2,neuron,interneuron
634867837,L2,neuron,interneuron
648927402,L2,neuron,interneuron
649702323,L2,neuron,interneuron
